path|romaji
kusamakura-by-soseki-natsume-02576|hechima hodo na aoi kyuuri wo , shamoji no you ni oshi hishage te ,
kusamakura-by-soseki-natsume-02577|e no hou wo shita ni , ue he ue he totsugi awase ta you ni mieru .
kusamakura-by-soseki-natsume-02578|ano shakushi ga iku tsu tsunagatsu tara , o shimai ni naru no ka wakara nai .
kusamakura-by-soseki-natsume-02579|konya no uchi ni mo hisashi wo tsukiyabutsu te , yanegawara no ue made shutsu sou da . ano shakushi ga dekiru toki ni ha ,
kusamakura-by-soseki-natsume-02580|nani de mo fui ni , doko kara ka shutsu te rai te , pishari to tobitsuku ni chigai nai .
kusamakura-by-soseki-natsume-02581|furui shakushi ga atarashii shou shakushi wo un de ,
kusamakura-by-soseki-natsume-02582|sono shou shakushi ga nagai toshitsuki no uchi ni dandan ookiku naru you ni ha omowa re nai .
kusamakura-by-soseki-natsume-02583|shakushi to shakushi no renzoku ga ikani mo toppi de aru .
kusamakura-by-soseki-natsume-02584|konna kokkei naki ha tanto aru mai . shikamo sumashi ta mono da .
kusamakura-by-soseki-natsume-02585|ikanaru kore butsu to towa re te , te izen no ha ku ju shi to kotae ta sou ga aru yoshi da ga ,
kusamakura-by-soseki-natsume-02586|moshi douyou no ton ni sesshi ta baai ni ha , yo ha ichi mo ni mo naku , getsu ka no ha o u ju to kotaeru de arou .
kusamakura-by-soseki-natsume-02587|shouji , chou hoshi to iu nin no ki koubun wo yon de , imada ni anshou shi te iru ku ga aru .
kusamakura-by-soseki-natsume-02588|( toki ni kyuu gatsu ten takaku tsuyu kiyoshiku , yama munashiku , gatsu akiraka ni , gyoui de sei to wo mire ba mina hikari da i ,
kusamakura-by-soseki-natsume-02589|tamatama nin no ue ni aru ga gotoshi , sou kan no take suujuu kan ,
kusamakura-by-soseki-natsume-02590|sou ma katsu shi te koe setsu setsu yama zu . chi ku kan no bai sou shinzen to shi te
kusamakura-by-soseki-natsume-02591|kibi nori ritsu shou hin no jou no gotoshi . fumiko ai kaerimi ,
kusamakura-by-soseki-natsume-02592|hakudou i te i nuru wo e zu . chi mei mina saru
kusamakura-by-soseki-natsume-02593|) to mata kuchi no nai de kurikaeshi te ken te , omowa zu waratsu ta . kono sa bote n mo toki to baai ni yore ba ,
kusamakura-by-soseki-natsume-02594|yo no haku wo ugokashi te , miru ya hi ya yama wo oi sage ta de arou .
kusamakura-by-soseki-natsume-02595|toge ni te wo fure te miru to , iraira to yubi wo sasu .
kusamakura-by-soseki-natsume-02596|ishi datami wo iki tsukushi te hidari he oreru tokuri he deru . kuri no mae ni ookina mokuren ga aru .
kusamakura-by-soseki-natsume-02597|hotondo hitokakae mo arou . taka sa ha kuri no yane wo nui te iru .
kusamakura-by-soseki-natsume-02598|miageru to atama no ue ha eda de aru . eda no ue mo , mata eda de aru .
kusamakura-by-soseki-natsume-02599|sou shi te eda no kasanariatsu ta ue ga gatsu de aru .
kusamakura-by-soseki-natsume-02600|futsuu , eda ga a a omonaru to , shita kara sora ha mie nu .
kusamakura-by-soseki-natsume-02601|hana ga are ba nao mie nu . mokuren no eda ha ikura kasanatsu te mo , eda to eda no kan ha hogaraka ni sui te iru .
kusamakura-by-soseki-natsume-02602|mokuren ha kinoshita ni tatsu nin no me wo midasu hodo no komai eda wo itazura ni ha hara nu . hana sae akiraka de aru .
kusamakura-by-soseki-natsume-02603|kono haruka naru shita kara miage te mo ichi wa no hana ha , hakkiri to ichi wa ni mieru .
kusamakura-by-soseki-natsume-02604|sono ichi wa ga doko made muragatsu te , doko made sai te iru ka wakara nu . sore ni mo kakawara zu
kusamakura-by-soseki-natsume-02605|ichi wa ha tsuini ichi wa de , ichi wa to ichi wa no kan kara , usuaoi sora ga han zen to nozoma reru .
kusamakura-by-soseki-natsume-02606|hana no shoku ha muron junpaku de ha nai . itazura ni shiroi no ha kan sugiru .
kusamakura-by-soseki-natsume-02607|moppara ni shiroi no ha , koto sarani nin no me wo ubau takumi ga mieru .
kusamakura-by-soseki-natsume-02608|mokuren no shoku ha sore de ha nai . kyokudo no shiroki wo wazato sake te , atatakami no aru ta n kou ni ,
kusamakura-by-soseki-natsume-02609|okuyukashiku mo mizukara wo hige shi te iru .
kusamakura-by-soseki-natsume-02610|yo ha ishi datami no ue ni tatsu te , kono otonashii hana ga ruirui to doko made moku uri ni habikoru sama wo miage te , shibaraku bouzen to shi te i ta .
kusamakura-by-soseki-natsume-02611|me ni otsuru no ha hana bakari de aru . ha ha ichi mai mo nai .
kusamakura-by-soseki-natsume-02612|mokuren no hana bakari naru sora wo miru to iu ku wo e ta .
kusamakura-by-soseki-natsume-02613|doko yara de , hato ga yasashiku naki au te iru .
kusamakura-by-soseki-natsume-02614|kuri ni iru . kuri ha akehanashi te aru .
kusamakura-by-soseki-natsume-02615|nu su bito ha ora nu kuni to mieru . inu ha motoyori hoe nu .
kusamakura-by-soseki-natsume-02616|( gomen ) to otozureru . shinto shi te henji ga nai .
kusamakura-by-soseki-natsume-02617|( tanomu ) to annai wo kou . hato no koe ga kuu u kuu u to buneru .
kusamakura-by-soseki-natsume-02618|) to haruka no mukou de kotae ta mono ga aru . nin no ie wo tou te , konna henji wo kikasa re ta koto ha kesshite nai .
kusamakura-by-soseki-natsume-02619|yagate ashioto ga rouka he hibiku to , shiso ku no kage ga , tsuitate no mukaigawa ni sashi ta . shou
kusamakura-by-soseki-natsume-02620|bouzu ga hyokori to arawareru . ryou nen de atsu ta .
kusamakura-by-soseki-natsume-02621|( o shou san ha oi dekai ) ( ora reru . nani shi ni gozatsu ta
kusamakura-by-soseki-natsume-02622|) ( onsen ni iru e kaki ga rai ta to , toritsui de o kure ) ( gakou san ka . sore ja o agari
kusamakura-by-soseki-natsume-02623|) ( kotowara nai de mo ii no ka i ) ( yoroshikaro ) yo ha geta wo nui de agaru .
kusamakura-by-soseki-natsume-02624|( gyougi ga warui gakou san ja na ) ( naze ) ( geta wo , you o soroe nasai .
kusamakura-by-soseki-natsume-02625|sora koko wo goran ) to shisoku wo sashi tsukeru . kuroi hashira no mannaka ni ,
kusamakura-by-soseki-natsume-02626|doma kara go shaku bakari no taka sa wo mihakaratsu te , hanshi wo shi tsu kiri ni shi ta ue he ,
kusamakura-by-soseki-natsume-02627|nani ka shitatame te aru . ( soo ra . yome taro . kyatsu ka wo miyo , to kai te aru ga
kusamakura-by-soseki-natsume-02628|) ( naruhodo ) to yo ha jibun no geta wo teinei ni soroeru .
kusamakura-by-soseki-natsume-02629|oshou no heya ha rouka wo kagi no te ni magatsu te , hondou no yokote ni aru .
kusamakura-by-soseki-natsume-02630|shouji wo uyauyashiku ake te , uyauyashiku shikii koshi ni tsukubatsu ta ryou nen ga ,
kusamakura-by-soseki-natsume-02631|( ano u , shiho da kara , gakou san ga rai rare mashi ta ) to iu .
kusamakura-by-soseki-natsume-02632|hanahada kyoushuku no tei de aru . yo ha chotto okashiku natsu ta . ( sou ka , kore he ) yo
kusamakura-by-soseki-natsume-02633|ha ryou nen to irekawaru . shitsu ga sukoburu semai .
kusamakura-by-soseki-natsume-02634|naka ni irori wo kitsu te , tetsu bin ga naru . oshou ha mukaigawa ni sho ken wo shi te i ta .
kusamakura-by-soseki-natsume-02635|( saa kore he ) to megane wo hazushi te , shomotsu wo katawara he oshiyaru .
kusamakura-by-soseki-natsume-02636|( ryou nen . ryou une ee n ) ( hahaha hai ) ( zabu to n wo age n ka
kusamakura-by-soseki-natsume-02637|) ( hahahaha hai ) to ryou nen ha tooku de , nagai henji wo suru .
kusamakura-by-soseki-natsume-02638|( you , rai rare ta . sazo taikutsu daro
kusamakura-by-soseki-natsume-02639|) ( amari gatsu ga ii kara , burabura rai mashi ta ) ( ii gatsu ja na ) to shouji wo akeru .
kusamakura-by-soseki-natsume-02640|tobiishi ga ni tsu , matsu ichi hon no hoka ni ha nani mo nai , hira
kusamakura-by-soseki-natsume-02641|niwa no mukou ha , sugu ken gai to mie te ,
kusamakura-by-soseki-natsume-02642|me no shita ni oboro yo no umi ga tachimachi ni hirakeru .
kusamakura-by-soseki-natsume-02643|kyuu ni ki ga ookiku natsu ta you na kokoromochi de aru .
kusamakura-by-soseki-natsume-02644|i sari bi ga koko , kashiko ni , chiratsui te ,
kusamakura-by-soseki-natsume-02645|haruka no matsu ha sora ni itsutsu te , hoshi ni bakeru tsumori darou . ( kore ha ii keshiki .
kusamakura-by-soseki-natsume-02646|o shou san , shouji wo shime te iru no ha mottai nai ja ari mase n ka
kusamakura-by-soseki-natsume-02647|) ( sou yo . shikashi maiban ken te iru kara na
kusamakura-by-soseki-natsume-02648|) ( iku ba n ken te mo ii desu yo , kono keshiki ha . watashi nara ne zu ni ken te i masu
kusamakura-by-soseki-natsume-02649|) ( hahahaha . mottomo anata ha e kaki da kara ,
kusamakura-by-soseki-natsume-02650|washi to ha sukoshi chigau te ) ( oshou san da tte ,
kusamakura-by-soseki-natsume-02651|utsukushii to omotsu teru uchi ha gakou de saa ) ( naruhodo sore mo sou jaro .
kusamakura-by-soseki-natsume-02652|washi mo daruma no e gurai ha kore de , kaku ga no . sora , koko ni kake te aru ,
kusamakura-by-soseki-natsume-02653|kono jiku ha sendai ga kakare ta no ja ga , nakanaka you kaitoru
kusamakura-by-soseki-natsume-02654|) naruhodo daruma no ga ga chiisai toko ni katsu te iru .
kusamakura-by-soseki-natsume-02655|shikashi ga to shi te ha sukoburu mazui mono da . tada zokki ga nai .
kusamakura-by-soseki-natsume-02656|setsu wo ooou to tsutome te iru tokoro ga ichi tsu mo nai .
kusamakura-by-soseki-natsume-02657|mujaki na ga da . kono sendai mo yahari kono ga no you na kamawa nai nin de atsu ta n darou .
kusamakura-by-soseki-natsume-02658|( mujaki na ga desu ne ) ( washi ra no kaku ga ha sore de takusan ja .
kusamakura-by-soseki-natsume-02659|kishou sae araware te ore ba … … ) ( jouzu de zokuke ga aru no yori , ii desu
kusamakura-by-soseki-natsume-02660|) ( hahahaha maa , sou de mo , home te oi te moraou .
kusamakura-by-soseki-natsume-02661|toki ni chikagoro ha gakou ni mo hakase ga aru ka no
kusamakura-by-soseki-natsume-02662|) ( gakou no hakase ha ari mase n yo ) ( a , sou ka . kono kan , nani de mo hakase ni hitori ou ta
kusamakura-by-soseki-natsume-02663|) ( heee ) ( hakase to iu to erai mono jaro na ) ( ee . erai n deshou
kusamakura-by-soseki-natsume-02664|) ( gakou ni mo hakase ga ari sou na mono ja ga na . naze nai darou
kusamakura-by-soseki-natsume-02665|) ( sou ie ba , oshou san no hou ni mo hakase ga nakerya nara nai deshou
kusamakura-by-soseki-natsume-02666|) ( hahahaha maa , sonna mono ka na .
kusamakura-by-soseki-natsume-02667|-   nani to ka iu nin jatsu ta te , kono kan au ta nin ha     doko zo ni meishi ga aru hazu da ga
kusamakura-by-soseki-natsume-02668|… … ) ( doko de o ai desu , toukyou desu ka ) ( iya koko de , toukyou he ha ,
kusamakura-by-soseki-natsume-02669|mo nijuu nen mo den . chikagoro ha densha to ka iu mono ga deki ta sou ja ga ,
kusamakura-by-soseki-natsume-02670|chotto joutsu te ken tai you na ki ga suru ) ( tsumara n mono desu yo . yakamashiku tte ) ( sou ka na . shotsu ken nichi ni hoe ,
kusamakura-by-soseki-natsume-02671|go gyuu gatsu ni aegu to iu kara , washi no you na inaka mono ha , kaette komaru ka mo shire n te nou
kusamakura-by-soseki-natsume-02672|) ( komariya shi mase n ga ne . tsumara n desu yo ) ( sou ka na
kusamakura-by-soseki-natsume-02673|) tetsu bin no kuchi kara kemuri ga sakan ni deru .
kusamakura-by-soseki-natsume-02674|o shou ha cha dansu kara chaki wo toridashi te , cha wo tsui de kureru .
kusamakura-by-soseki-natsume-02675|( bancha wo ichi tsu o agari . shiho ta no inkyo san no you na umai cha ja nai ) ( ie
kusamakura-by-soseki-natsume-02676|kekkou desu ) ( anata ha , sou yatsu te ,
kusamakura-by-soseki-natsume-02677|katagata aruku you ni miukeru ga yahari e wo kaku tame ka no ) ( ee .
kusamakura-by-soseki-natsume-02678|dougu dake ha motsu te aru ki masu ga , ga ha kaka nai de mo kamawa nai n desu
kusamakura-by-soseki-natsume-02679|) ( haa , sore ja asobi hanbun ka no ) ( sou desu ne . sou itsu te mo ii deshou . he no kanjou wo sa reru no ga , iya desu kara ne
kusamakura-by-soseki-natsume-02680|) sasuga no zensou mo , kono go dake hageshi kane ta to mieru . ( he no kanjou ta nani ka na
kusamakura-by-soseki-natsume-02681|) ( toukyou ni nagaku iru to he no kanjou wo sa re masu yo ) ( dou shi te ) ( ha ha ha ha ha kanjou dake nara ii desu ga .
kusamakura-by-soseki-natsume-02682|nin no he wo bunseki shi te , shiri no ana ga sankaku da no , shikaku da no tte yokei na koto wo yari masu yo ) ( haa ,
kusamakura-by-soseki-natsume-02683|yahari eisei no hou ka na ) ( eisei ja ari mase n . tantei no hou desu
kusamakura-by-soseki-natsume-02684|) ( tantei ？   naruhodo , sore ja keisatsu ja no .
kusamakura-by-soseki-natsume-02685|ittai keisatsu no , junsa no te , nani no yaku ni tatsu ka no . nakerya nara n kai no
kusamakura-by-soseki-natsume-02686|) ( sou desu ne , e kaki ni hairi mase n ne ) ( washi ni mo ira n ga na .
kusamakura-by-soseki-natsume-02687|washi ha mada junsa no yakkai ni natsu ta koto ga nai ) ( sou deshou
kusamakura-by-soseki-natsume-02688|) ( shikashi , ikura keisatsu ga he no kanjou wo shitate te , kamawa n ga na .
kusamakura-by-soseki-natsume-02689|sumashi te i tara . jibun ni warui koto ga nakerya , nanbo keisatsu ja te ,
kusamakura-by-soseki-natsume-02690|dou mo naru mai ga na ) ( he kurai de , dou ka sa re cha tamari mase n ) ( washi ga shou bouzu no toki ,
kusamakura-by-soseki-natsume-02691|sendai ga you unwa re ta . ningen ha nihonbashi no mannaka ni zou fu wo sarakedashi te , hazukashiku nai you ni shi nakere ba shugyou wo tsun da to ha unwa ren te na .
kusamakura-by-soseki-natsume-02692|anata mo sore made shugyou wo shi tara yokaro . tabi nado ha sen de mo sumu you ni naru
kusamakura-by-soseki-natsume-02693|) ( gakou ni narisumase ba , itsu de mo sou nare masu ) ( sore ja gakou ni nari sumishi tara yokaro
kusamakura-by-soseki-natsume-02694|) ( he no kanjou wo sa re cha , nari kire mase n yo ) ( hahahaha . sore goran . ano , anata no tomatsu te iru ,
kusamakura-by-soseki-natsume-02695|shiho ta no o nami san mo , yome ni itsu te kaetsu te ki te kara ,
kusamakura-by-soseki-natsume-02696|dou mo iroiro na koto ga ki ni natsu te naran , naran to iu te shimai ni toutou , washi no tokoro he hou wo toi ni rai ta ja te .
kusamakura-by-soseki-natsume-02697|tokoro ga chikagoro ha daibu deki te ki te , sora , goran .
kusamakura-by-soseki-natsume-02698|ano you na wake no wakatsu ta onna ni natsu ta ja te ) ( heee , dou mo tada no onna ja nai to omoi mashi ta
kusamakura-by-soseki-natsume-02699|) ( iya na kanakaki hou no surudoi onna de     washi no tokoro he shugyou ni rai te i ta tai an to iu nya kusou mo , ano onna no tame ni , futo shi ta koto kara daiji wo kyuu mei se n nara n i n nen ni hou chaku shi te
kusamakura-by-soseki-natsume-02700|-   ima ni yoi chi shiki ni naru you ja ) shizuka na niwa ni , matsu no kage ga ochiru , tooku no umi ha ,
kusamakura-by-soseki-natsume-02701|sora no hikari ni kota uru ga gotoku , kotae zaru ga gotoku , uyamuya no uchi ni kasuka naru , kagayaki wo houttsu .
kusamakura-by-soseki-natsume-02702|i sari bi ha meimetsu su . ( ano matsu no kage wo goran ) ( kirei desu na
kusamakura-by-soseki-natsume-02703|) ( tada kirei ka na ) ( ee ) ( kirei na ue ni , kaze ga fui te mo ku ni shi nai
kusamakura-by-soseki-natsume-02704|) chawan ni amatsu ta shibucha wo nomihoshi te , ito zoko wo ue ni , cha taku he fuse te , tachinoboru .
kusamakura-by-soseki-natsume-02705|( mon made okutsu te ageyou . ryou une ee n . o kyaku ga o kaeri da zo yo ) okura re te , kuri wo deru to ,
kusamakura-by-soseki-natsume-02706|hato ga kuu u kuu u to naku . ( hato hodo kawai mono ha nai ,
kusamakura-by-soseki-natsume-02707|washi ga , te wo tataku to , mina ton de kuru . yon de miyo ka ) gatsu ha iyoiyo akarui .
kusamakura-by-soseki-natsume-02708|shinshin to shi te , mokuren ha iku da no un ge wo kuu ri ni sasage te iru .
kusamakura-by-soseki-natsume-02709|ketsu ryou taru shun ya no manaka ni , oshou ha hatato tanagokoro wo utsu .
kusamakura-by-soseki-natsume-02710|koe ha fuu chuu ni shishi te ichi hane no hato mo kudari nu . ( shita rinkai na . kudari sou na mono ja ga
kusamakura-by-soseki-natsume-02711|) ryou nen ha yo no kao wo ken te , chotto waratsu ta . oshou ha hato no me ga
kusamakura-by-soseki-natsume-02712|yoru de mo mieru to omou te iru rashii . kiraku na mono da .
kusamakura-by-soseki-natsume-02713|yamato no tokoro de , yo ha futari ni wakareru .
kusamakura-by-soseki-natsume-02714|mikaeri eru to , ookina marui kage to , chiisana marui kage ga , ishi datami no ue ni ochi te , zengo shi te kuri no hou ni kie te iku . shou
kusamakura-by-soseki-natsume-02715|geijutsu ie no taido wo gusoku shi taru mono nari to ha , osukaa ・ wairudo no setsu to kioku shi te iru .
kusamakura-by-soseki-natsume-02716|kirisuto ha shira zu . kan umi tera no o shou no gotoki ha , masashiku kono shikaku wo yuushi te iru to omou .
kusamakura-by-soseki-natsume-02717|shumi ga aru to iu imi de ha nai . jisei ni tsuuji te iru to iu wake de mo nai .
kusamakura-by-soseki-natsume-02718|kare ha e to iu mei no hotondo kudasu bekara zaru daruma no fuku wo kake te ,
kusamakura-by-soseki-natsume-02719|you deki ta nado to tokui de aru . kare ha e kaki ni hakase ga aru mono to kokoroe te iru .
kusamakura-by-soseki-natsume-02720|kare ha hato no me wo yoru de mo kiku mono to omotsu te iru .
kusamakura-by-soseki-natsume-02721|sore ni mo kakawara zu , geijutsu ie no shikaku ga aru to iu .
kusamakura-by-soseki-natsume-02722|kare no kokoro ha soko no nai fukuro no you ni
kusamakura-by-soseki-natsume-02723|ikinuke de aru . nanini mo teitai shi te ora n .
kusamakura-by-soseki-natsume-02724|zu i sho ni ugoki sari , ni n i ni nashi satsu te , sa no jin shi no fukubu ni
kusamakura-by-soseki-natsume-02725|chin den suru keshiki ga nai . moshi kare no no uri ni ichi
kusamakura-by-soseki-natsume-02726|ten no shumi wo choushi e ta nara ba , kare ha yuku tokoro ni douka shi te ,
kusamakura-by-soseki-natsume-02727|kou shi sounyou no kiwa ni mo , kanzen taru geijutsu ie to shi te
kusamakura-by-soseki-natsume-02728|sonzai shi eru darou . yo no gotoki ha , tantei ni he no kazu wo kanjou sa reru kan ha ,
kusamakura-by-soseki-natsume-02729|toutei gaka ni ha nare nai . ga ka ni mukou koto ha dekiru .
kusamakura-by-soseki-natsume-02730|kotei ta wo nigiru koto ha dekiru . shikashi gakou ni ha nare nai .
kusamakura-by-soseki-natsume-02731|kou yatsu te , mei mo shira nu yamazato he rai te ,
kusamakura-by-soseki-natsume-02732|kure n to suru shun shoku no naka ni go shaku no sou ku wo uzume tsukushi te ,
kusamakura-by-soseki-natsume-02733|hajime te , makoto no geijutsu ie taru beki taido ni
kusamakura-by-soseki-natsume-02734|ware mi wo oki eru no de aru . ichi tabi kono kyou gai ni ire ba bi
kusamakura-by-soseki-natsume-02735|no tenka ha waga ari ni kaesuru . seki so wo some zu , sun ken wo nura zaru mo ,
kusamakura-by-soseki-natsume-02736|ware ha dai ichiryuu no dai gakou de aru . gi ni oi te , mikeruanzero ni oyoba zu ,
kusamakura-by-soseki-natsume-02737|takumi naru koto rafuhaeru ni yuzuru koto ari tomo ,
kusamakura-by-soseki-natsume-02738|geijutsu ie taru no jinkaku ni oi te , kokon no ooya to ho bu wo hito shuu shi te , gou
kusamakura-by-soseki-natsume-02739|mo yuzuru tokoro wo midashi e nai . yo ha kono onsen ba he rai te kara , mada ichi mai no e mo kaka nai .
kusamakura-by-soseki-natsume-02740|enogu hako ha suikyou ni , katsu i deki ta ka no kan sae aru . nin ha are de mo gaka ka to warau ka mo shire nu .
kusamakura-by-soseki-natsume-02741|ikura shiwa re te mo , ima no yo ha makoto no gaka de aru .
kusamakura-by-soseki-natsume-02742|rippa na gaka de aru . kou iu kyou wo e ta mono ga , meiga wo kaku to ha kagira n .
kusamakura-by-soseki-natsume-02743|shikashi meiga wo kaki eru nin ha kanarazu kono sakai wo shira ne ba nara n .
kusamakura-by-soseki-natsume-02744|asameshi wo sumashi te , ichi hon no shiki shima wo yutaka ni fukashi taru toki no
kusamakura-by-soseki-natsume-02745|yo no kansou ha ijou no gotoku de aru . nichi
kusamakura-by-soseki-natsume-02746|ha kasumi wo hanare te takaku nobotsu te iru . shouji wo ake te , ushiro no yama wo nagame tara ,
kusamakura-by-soseki-natsume-02747|ao iki ga hijou ni sukikayotsu te , rei ni naku azayaka ni mie ta .
kusamakura-by-soseki-natsume-02748|yo ha tsune ni kuuki to , busshou to , saishoku no kankei wo yo no naka de
kusamakura-by-soseki-natsume-02749|mottomo kyoumi aru kenkyuu no ichi to kangae te iru . shoku wo omoni shi te kuuki wo dasu ka ,
kusamakura-by-soseki-natsume-02750|mono wo omoni shi te , kuuki wo kaku ka . mata ha kuuki wo omoni shi te sono uchi ni shoku to mono to wo oridasu ka . ga
kusamakura-by-soseki-natsume-02751|ha sukoshi noki ai ichi tsu de iroiro na choushi ga deru . kono choushi ha
kusamakura-by-soseki-natsume-02752|gaka jishin no shi kou de kotonatsu te kuru . sore ha muron de aru ga ,
kusamakura-by-soseki-natsume-02753|toki to basho to de , onozukara seigen sa reru no mo
kusamakura-by-soseki-natsume-02754|mata touzen de aru . eikoku nin no kai ta sansui ni
kusamakura-by-soseki-natsume-02755|akarui mono ha ichi tsu mo nai . akarui ga ga kirai na no ka mo shire nu ga ,
kusamakura-by-soseki-natsume-02756|yoshi suki de atsu te mo , ano kuuki de ha , dou suru koto mo deki nai . onaji ei nin de mo guu daru nado ha
kusamakura-by-soseki-natsume-02757|shoku no choushi ga marude chigau . chigau hazu de aru .
kusamakura-by-soseki-natsume-02758|kare ha ei nin de ari nagara , katsute eikoku no keishoku wo kai ta koto ga nai .
kusamakura-by-soseki-natsume-02759|kare no gadai ha kare no kyoudo ni ha nai . kare no hongoku ni hisuru to ,
kusamakura-by-soseki-natsume-02760|kuuki no toumei no do no hijou ni masatsu te iru , ejiputo
kusamakura-by-soseki-natsume-02761|mata ha perusha hen no koukei nomi wo eran de iru . shitagatsu te kare no kai ta ga wo ,
kusamakura-by-soseki-natsume-02762|hajime te miru to dare mo kyouroku . ei nin ni mo
kusamakura-by-soseki-natsume-02763|konna aka na shoku wo dasu mono ga aru ka to utagau kurai hakkiri dekiatsu te iru . kojin no shikou ha dou suru koto mo deki n .
kusamakura-by-soseki-natsume-02764|shikashi nippon no sansui wo egaku no ga shui de aru nara ba , wareware mo mata nippon koyuu no kuuki to
kusamakura-by-soseki-natsume-02765|shoku wo dasa nakere ba nara n . ikura furansu no e ga umai to itsu te ,
kusamakura-by-soseki-natsume-02766|sono shoku wo sono mama ni utsushi te , kore ga nippon no keishoku da to ha unwa re nai .
kusamakura-by-soseki-natsume-02767|yahari manoatari shizen ni sesshi te , asanayuuna ni
kusamakura-by-soseki-natsume-02768|un youen tai wo kenkyuu shi ta ageku , ano shoku koso to omotsu ta toki ,
kusamakura-by-soseki-natsume-02769|sugu san kyaku ki wo ninai de tobidasa nakere ba nara n .
kusamakura-by-soseki-natsume-02770|shoku ha setsuna ni utsuru . ichi tabi ki wo shissure ba ,
kusamakura-by-soseki-natsume-02771|onaji shoku ha youi ni me ni ha ochi nu . yo ga ima miage ta yama no hani ha ,
kusamakura-by-soseki-natsume-02772|metta ni kono hen de miru koto no deki nai hodo na ii shoku ga michi te iru . sekkaku rai te ,
kusamakura-by-soseki-natsume-02773|are wo nigasu no ha oshii mono da . chotto utsushi te kiyou .
kusamakura-by-soseki-natsume-02774|fusuma wo ake te , engawa he deru to , mukou ni kai no shouji ni mi wo motashi te ,
kusamakura-by-soseki-natsume-02775|nami san ga tatsu te iru . ago wo eri no naka he uzume te ,
kusamakura-by-soseki-natsume-02776|yokogao dake shika mie nu . yo ga aisatsu wo shiyou to omou to tanni ,
kusamakura-by-soseki-natsume-02777|onna ha , hidari no te wo otoshi ta mama , migi no te wo kaze no gotoku ugokashi ta .
kusamakura-by-soseki-natsume-02778|hirameku ha inazuma ka , futa ore mi ore mune no atari wo ,
kusamakura-by-soseki-natsume-02779|sururi to hashiru ya ina ya , kachiri to oto ga shi te ,
kusamakura-by-soseki-natsume-02780|senmeki ha sugu kie ta . onna no hidari ri te ni ha
kusamakura-by-soseki-natsume-02781|kyuu sun go bu no shira saya ga aru . sugata ha tachimachi shouji no kage ni kakure ta .
kusamakura-by-soseki-natsume-02782|yo ha asappara kara kabuki za wo nozoi ta ki de yado wo deru .
kusamakura-by-soseki-natsume-02783|mon wo shutsu te , hidari he kireru to , sugu soba michi tsuzuki no , tsuma agari ni naru .
kusamakura-by-soseki-natsume-02784|uguisu ga tokorodokoro de naku . hidari ri te ga nadaraka na tani he ochi te , mikan ga ichimen ni ue te aru .
kusamakura-by-soseki-natsume-02785|migi ni ha takakara nu oka ga ni tsu hodo naran de , koko ni mo aru ha mikan nomi to omowa reru .
kusamakura-by-soseki-natsume-02786|nani nen mae ka ichi do kono chi ni rai ta .
kusamakura-by-soseki-natsume-02787|yubi wo oru no mo mendou da . nani de mo samui shiwasu no goro de atsu ta .
kusamakura-by-soseki-natsume-02788|sono toki mikan yama ni mikan ga beta nari ni
kusamakura-by-soseki-natsume-02789|umaru keshiki wo hajime te ken ta . mikan tori ni kazue utsu te kure to itsu tara ,
kusamakura-by-soseki-natsume-02790|iku tsu de mo age masu yo , motsu te irasshai to kotae te , ki no ue de
kusamakura-by-soseki-natsume-02791|myou na fushi no uta wo utaidashi ta . toukyou de ha mikan no kawa de sae ya kushu ya he
kusamakura-by-soseki-natsume-02792|kai ni ika ne ba nara nu no ni to omotsu ta . yoru ni naru to , shikiri ni tsutsu no oto ga suru .
kusamakura-by-soseki-natsume-02793|nani da to kii tara , ryoushi ga kamo wo toru n da to oshie te kure ta .
kusamakura-by-soseki-natsume-02794|sono toki ha nami san no , na no ji mo shira zu ni sun da .
kusamakura-by-soseki-natsume-02795|ano onna wo yakusha ni shi tara , rippa na onna gata ga dekiru .
kusamakura-by-soseki-natsume-02796|futsuu no yakusha ha , butai he deru to , yosoiki no gei wo suru .
kusamakura-by-soseki-natsume-02797|ano onna ha ie no naka de , jou juu shibai wo shi te iru . shikamo
kusamakura-by-soseki-natsume-02798|shibai wo shi te iru to ha ki ga tsuka n . shizen tennen ni shibai wo shi te iru .
kusamakura-by-soseki-natsume-02799|anna no wo biteki seikatsu to de mo iu no darou .
kusamakura-by-soseki-natsume-02800|ano onna no okage de e no shugyou ga daibu deki ta .
kusamakura-by-soseki-natsume-02801|ano onna no sho sa wo shibai to ken nakere ba , haku kimi ga waruku te ichi nichi mo itatamare n .
kusamakura-by-soseki-natsume-02802|giri to ka ninjou to ka iu , jinjou no dougu date wo haikei ni shi te ,
kusamakura-by-soseki-natsume-02803|futsuu no shousetsu ie no you na kansatsu ten kara ano onna wo kenkyuu shi tara ,
kusamakura-by-soseki-natsume-02804|shigeki ga kyou sugi te , sugu iya ni naru . genjitsu sekai ni atsu te , yo to ano onna no kan ni
kusamakura-by-soseki-natsume-02805|tenmen shi ta isshu no kankei ga naritatsu ta to suru nara ba ,
kusamakura-by-soseki-natsume-02806|yo no kutsuu ha osoraku gon go ni zessuru darou .
kusamakura-by-soseki-natsume-02807|yo no kono tabi no ryokou ha zoku jou wo hanare te , akumade
kusamakura-by-soseki-natsume-02808|gakou ni nari kiru no ga shui de aru kara , me ni iru mono ha
